Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"full/accept/phone",3.7600869159075664e-6,3.7565614477378997e-6,3.765274799962115e-6,2.1604623493471647e-8,1.592183929435858e-8,3.2338787982744994e-8
"full/accept/html",1.1689604565954027e-5,1.167142314914167e-5,1.1726789463639234e-5,1.287441938450331e-7,7.395869130604655e-8,2.380598094216193e-7
"full/count/phone",4.745384651585265e-6,4.740146716632185e-6,4.759755230415787e-6,4.076679933604206e-8,1.8406790614427727e-8,8.61197546596741e-8
"full/count/html",1.338194888922114e-5,1.336801480050593e-5,1.3405190692686298e-5,9.016895508106379e-8,6.093714038460491e-8,1.448009765177004e-7
