Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"partial/accept/rna",2.0430412478835626e-5,2.0416023830572768e-5,2.045071112340965e-5,8.67452729769473e-8,6.733389799505098e-8,1.284725063824451e-7
"partial/leftmost/rna",2.724202449220077e-5,2.7222066249426773e-5,2.7271300617333815e-5,1.2216476955428607e-7,8.889204317714485e-8,1.7143387631968919e-7
"partial/longest/rna",2.6199712441634002e-5,2.6169478842595817e-5,2.6270570089474974e-5,2.2395228791468314e-7,1.178852700513097e-7,4.4339418135974837e-7
"partial/leftlong/rna",2.7453834806967192e-5,2.7423777203389687e-5,2.7500801861832644e-5,1.8931930004059448e-7,1.3636488179014307e-7,2.8948909213328844e-7
